state_std,population,households,male_population,female_population,female_population_ratio,literacy_rate,worker_rate,non_worker_rate,avg_household_size
Jammu & Kashmir,12541302,2119718,6640662,5900640,0.4704966039411219,56.351669069128555,34.46781681838137,65.53218318161862,5.916495496099009
Himachal Pradesh,6864602,1483280,3481873,3382729,0.4927786053728971,73.41628837330991,51.85183350760904,48.14816649239096,4.627987972601262
Punjab,27743338,5513071,14639465,13103873,0.47232503168868867,67.42929419668246,35.67473387665176,64.32526612334824,5.032283821485339
Chandigarh,1055450,241173,580663,474787,0.4498431948458004,76.31228385996495,38.290397460798715,61.70960253920129,4.376319073859843
Uttarakhand,10086292,2056975,5137773,4948519,0.4906182569372372,68.22083873835896,38.39146239272073,61.60853760727927,4.903458719721922
Haryana,25351462,4857524,13494734,11856728,0.46769405251657675,65.47546646422207,35.17157314240891,64.8284268575911,5.219009108344086
Delhi,16787941,3435999,8987326,7800615,0.4646558502915873,75.87450420513153,33.280132447451415,66.71986755254858,4.885898104161265
Rajasthan,68548437,12711146,35550997,32997440,0.4813740683832076,55.8368413272501,43.59874026011709,56.40125973988292,5.392781815266696
Uttar Pradesh,199812341,33448035,104480510,95331831,0.47710682194549736,57.252497231890196,32.93826330777036,67.06173669222963,5.973814037207268
Bihar,104099452,18913565,54278157,49821295,0.4785932494630231,50.43691584466746,33.3575118147596,66.6424881852404,5.503957186284024
Sikkim,610577,129006,323070,287507,0.47087754697605705,72.8740191654779,50.46668970498397,49.53331029501602,4.732934902252609
Arunachal Pradesh,1383727,270577,713912,669815,0.48406585981194267,55.35810170647822,42.46914311854867,57.53085688145133,5.113986037246329
Nagaland,1978502,396002,1024649,953853,0.4821086862687023,67.85103072930934,49.23533056827842,50.76466943172158,4.996191938424554
Manipur,2855794,557859,1438586,1417208,0.4962570829688696,66.8282095977511,45.68291690507088,54.31708309492912,5.119203956555331
Mizoram,1097206,222853,555339,541867,0.4938607699921437,77.30316822912015,44.35857988381398,55.641420116186026,4.923451782116462
Tripura,3673917,855556,1874376,1799541,0.4898153659976532,76.34312370148808,39.99875337412359,60.00124662587641,4.294186470552483
Meghalaya,2966889,548059,1491832,1475057,0.49717296467781574,60.16419893025995,39.961690511508856,60.03830948849115,5.4134481871477345
Assam,31205576,6406471,15939443,15266133,0.48921170370321,61.45689155040753,38.357535845516836,61.64246415448316,4.870946266673181
West Bengal,91276115,20380315,46809027,44467088,0.4871711290516692,67.41991702867722,38.07825847977864,61.92174152022136,4.478641031799557
Jharkhand,32988134,6254781,16930315,16057819,0.48677560846575924,55.55958090869887,39.706016714979995,60.293983285020005,5.274066989715547
Odisha,41974218,9637820,21212136,20762082,0.4946389233505196,63.71195527692738,41.79134200903993,58.20865799096006,4.3551568715746924
Chhattisgarh,25545198,5650724,12832895,12712303,0.4976396346585374,60.20670499402666,47.68107493236107,52.31892506763893,4.520694693281781
Madhya Pradesh,72626809,15093256,37612306,35014503,0.4821153990119544,59.00186114469107,43.47448749951275,56.52551250048725,4.811871540507893
Gujarat,60439692,12248428,31491260,28948432,0.47896392324434744,67.99068069374013,40.979274017478446,59.02072598252155,4.93448563358498
Dadra & Nagar Haveli and Daman & Diu,243247,60956,150301,92946,0.382105431927218,77.45460375667531,49.85508557145618,50.14491442854383,3.9905341557845
Maharashtra,112374333,24421519,58243056,54131277,0.4817049904091533,72.5737700262924,43.98502458742069,56.01497541257932,4.6014473137399845
Andhra Pradesh,84580777,21022588,42442146,42138631,0.4982057684336478,59.77334542575791,46.60977044464843,53.39022955535157,4.023328478872345
Karnataka,61095297,13357027,30966657,30128640,0.4931417225126183,66.5310162908284,45.62150995026671,54.37849004973329,4.574019128657897
Goa,1458545,343611,739140,719405,0.49323469622123417,79.9075105670377,39.57697568467206,60.42302431532794,4.244756425143549
Lakshadweep,64473,11574,33123,31350,0.48625005816388256,81.51164053169543,29.08659438834861,70.9134056116514,5.570502851218248
Kerala,33406061,7853754,16027412,17378649,0.5202244287346539,84.2237101824127,34.78130211161382,65.21869788838617,4.253515070627372
Tamil Nadu,72147030,18524982,36137975,36009055,0.49910654672825755,71.84981419193555,45.58008971401872,54.419910285981274,3.894580302426205
Puducherry,1247953,302450,612511,635442,0.5091874453605224,76.71034085418282,35.65582998718702,64.34417001281298,4.1261464704909905
Andaman & Nicobar Islands,380581,94551,202871,177710,0.4669439619949498,77.32414387475991,40.07951001232327,59.92048998767674,4.025139871603685
