state_std,budget_per_capita_judiciary,pop_per_high_court_judge,pop_per_lower_court_judge,courthall_shortfall_pct,case_clearance_rate_hc,case_clearance_rate_lower,legal_pressure_index
Andaman And Nicobar Islands Ut,337,1833444,30923,14.9,121,76.0,0.25315292679064505
Andhra Pradesh,145,1765733,109673,-4.0,73,90.0,0.45107216795786353
Arunachal Pradesh,199,1681917,44229,36.6,90,91.82857142857142,0.40291885306364883
Assam,99,1681917,82274,13.4,90,72.0,0.4327919123405669
Bihar,83,3674088,92259,20.2,113,93.0,0.5008606472661684
Chandigarh Ut,517,933333,40633,-3.3,103,76.0,0.2033996740382944
Chhattisgarh,99,2131143,67964,2.7,77,89.0,0.3307785606719112
Dadra And Nagar Haveli And Daman And Diu Ut,50,1941636,195000,-14.3,72,97.0,0.7130841121495327
Delhi Ut,581,465889,30695,32.5,88,71.0,0.3345671931834633
Goa,498,1941636,39175,-6.0,72,113.0,0.18548337804214743
Gujarat,139,2523143,60280,1.1,92,117.0,0.2953724636469246
Haryana,270,933333,63367,27.7,103,82.0,0.43089201939600674
Himachal Pradesh,278,743100,45870,13.7,80,95.0,0.3018741410979261
Jammu And Kashmir Ut,190,920267,57225,38.2,127,74.0,0.4576327714767486
Jharkhand,115,1855667,66842,4.6,101,96.0,0.3355788696374547
Karnataka,193,1372816,63162,14.3,82,95.0,0.367530072081958
Kerala,233,964892,74546,5.8,156,113.0,0.3691885028945846
Ladakh Ut,313,920267,33222,47.1,127,81.0,0.4119765194792607
Lakshadweep Ut,302,964892,34000,0.0,156,91.82857142857142,0.1947109013395433
Madhya Pradesh,129,2759613,55587,24.0,84,91.0,0.3853239017277601
Maharashtra,172,1941636,64645,-7.3,72,92.0,0.27198583509725605
Manipur,150,1064667,76048,33.9,99,103.0,0.5059563169192038
Meghalaya,192,1106000,65059,46.5,128,103.0,0.5248924930465485
Mizoram,298,1681917,29927,35.4,90,111.0,0.34532710280373835
Nagaland,187,1681917,92208,11.8,90,63.0,0.4614229382854179
Odisha,118,2007364,56983,16.9,131,90.0,0.3572204503575337
Puducherry Ut,152,1448870,146182,-38.5,107,114.0,0.4225585044192569
Punjab,251,933333,50892,14.9,103,100.0,0.32573536001715697
Rajasthan,147,3082808,63513,15.9,65,96.0,0.37628250678784936
Sikkim,635,227667,32524,28.6,111,97.0,0.3229908619868038
Tamil Nadu,165,1448870,71351,9.3,107,98.0,0.3739305991554798
Telangana,157,1148697,92231,-3.1,103,95.0,0.391880369438364
Tripura,238,1369667,37697,32.8,107,104.0,0.3614196205802123
Uttar Pradesh,104,2332970,93021,25.4,96,72.0,0.5279293964024186
Uttarakhand,193,1645429,42502,21.1,81,86.0,0.3242117237171365
West Bengal,75,1833444,107412,17.6,121,80.0,0.5437885651383576
