state_std,power_requirement,power_availability,power_gap,power_gap_percent,installed_power_capacity,power_per_capita
Andaman & Nicobar Islands,35.0,32.0,3.0,8.571428571428571,75.0,850.1
Andhra Pradesh,6208.0,6208.0,0.0,0.0,25484.0,1254.5
Arunachal Pradesh,72.0,71.0,1.0,1.3888888888888888,765.0,514.0
Assam,1019.0,982.0,37.0,3.631010794896958,1794.0,313.7
Bihar,3417.0,3402.0,15.0,0.4389815627743635,6321.0,327.7
Chandigarh,152.0,152.0,0.0,0.0,215.0,1434.9
Chhattisgarh,3047.0,3045.0,2.0,0.06563833278634722,13076.0,1176.8
Dadra & Nagar Haveli and Daman & Diu,222.0,222.0,0.0,0.0,256.0,9147.9
Delhi,2956.0,2956.0,0.0,0.0,7590.0,1764.1
Goa,408.0,408.0,0.0,0.0,596.0,2793.1
Gujarat,11162.0,11162.0,0.0,0.0,37893.0,1852.0
Haryana,5316.0,5311.0,5.0,0.09405568096313018,12481.0,2094.7
Himachal Pradesh,1019.0,1013.0,6.0,0.5888125613346418,4155.0,1477.4
Jammu & Kashmir,1977.0,1722.0,255.0,12.898330804248861,3478.0,1394.5
Jharkhand,995.0,968.0,27.0,2.7135678391959797,2548.0,292.5
Karnataka,6885.0,6883.0,2.0,0.029048656499636893,30091.0,1125.9
Kerala,2512.0,2510.0,2.0,0.07961783439490447,5837.0,752.3
Lakshadweep,6.0,6.0,0.0,0.0,1.0,869.2
Madhya Pradesh,8344.0,8344.0,0.0,0.0,25489.0,1143.5
Maharashtra,15068.0,15066.0,2.0,0.013273161667109106,44166.0,1340.7
Manipur,97.0,97.0,0.0,0.0,262.0,360.3
Meghalaya,203.0,201.0,2.0,0.9852216748768473,616.0,675.4
Mizoram,73.0,72.0,1.0,1.36986301369863,207.0,689.9
Nagaland,83.0,82.0,1.0,1.2048192771084338,179.0,422.4
Odisha,2985.0,2985.0,0.0,0.0,8594.0,704.1
Puducherry,264.0,264.0,0.0,0.0,380.0,2120.8
Punjab,5845.0,5838.0,7.0,0.11976047904191617,14389.0,2105.6
Rajasthan,8531.0,8521.0,10.0,0.11721955222131053,26045.0,1241.9
Sikkim,55.0,55.0,0.0,0.0,678.0,872.9
Tamil Nadu,10119.0,10119.0,0.0,0.0,33695.0,1401.4
Telangana,6700.0,6699.0,1.0,0.014925373134328358,17218.0,1904.5
Tripura,148.0,148.0,0.0,0.0,724.0,402.5
Uttar Pradesh,12437.0,12338.0,99.0,0.7960118999758785,27896.0,618.1
Uttarakhand,1383.0,1382.0,1.0,0.07230657989877079,3731.0,1365.8
West Bengal,5164.0,5154.0,10.0,0.19364833462432224,11037.0,572.9
