state_std,district_std,private_project_count,private_project_cost_total,private_project_cost_mean,private_project_units_total,private_avg_cost_per_sqft,private_project_cost_total_cr,private_project_cost_mean_cr
Gujarat,ahmedabad,4281,1831239969240.36,427759862.00428873,572217.0,37947.372079,183123.996924036,42.775986200428875
Gujarat,amreli,3,619960664.0,206653554.66666666,633.0,36968.58732,61.9960664,20.665355466666664
Gujarat,anand,256,21555182312.04,84530126.71388236,12439.0,31050.139377,2155.518231204,8.453012671388235
Gujarat,aravalli,13,2599826352.0299997,199986642.46384615,2315.0,20150.433378499998,259.982635203,19.998664246384614
Gujarat,banaskantha,59,12276736295.13,208080276.18864405,7145.0,28018.333842,1227.673629513,20.808027618864404
Gujarat,bharuch,157,41546508805.07,264627444.61828026,25028.0,27655.599025,4154.650880507,26.462744461828027
Gujarat,bhavnagar,513,37934233970.76,73945875.18666667,35913.0,21360.1611625,3793.423397076,7.3945875186666665
Gujarat,chhota udaipur,1,101784538.0,101784538.0,89.0,46638.382163,10.1784538,10.1784538
Gujarat,chhota udepur,2,256500610.0,128250305.0,143.0,45303.219595999995,25.650061,12.8250305
Gujarat,dahod,1,82208180.0,82208180.0,112.0,16670.116618,8.220818,8.220818
Gujarat,gandhinagar,1251,542129359789.16,433356802.38941646,154017.0,34370.758051,54212.935978916,43.33568023894165
Gujarat,gir somnath,18,1073367514.66,59631528.59222222,1273.0,22650.2915595,107.336751466,5.963152859222222
Gujarat,jamnagar,163,12908183749.0,79191311.34355828,10585.0,24460.471877,1290.8183749,7.919131134355828
Gujarat,junagadh,192,10535611658.88,54872977.38999999,10374.0,16460.233323,1053.561165888,5.487297739
Gujarat,kheda,57,7265903139.74,127471984.9077193,4959.0,23182.03125,726.590313974,12.74719849077193
Gujarat,kutch,63,5159213518.04,81892278.06412698,6883.0,16312.427542,515.921351804,8.189227806412699
Gujarat,mahisagar,2,647301807.0,323650903.5,915.0,28723.042233499997,64.7301807,32.36509035
Gujarat,mehsana,147,23763610568.739998,161657214.75333333,18063.0,20798.186081,2376.3610568739996,16.16572147533333
Gujarat,morbi,8,1805554016.0,225694252.0,1140.0,23373.720121,180.5554016,22.5694252
Gujarat,navsari,94,14991544171.2,159484512.4595745,8339.0,28048.555485,1499.15441712,15.948451245957449
Gujarat,panchmahals,8,1026958815.0,128369851.875,843.0,27637.3962205,102.6958815,12.8369851875
Gujarat,patan,26,3008636767.0,115716798.73076923,2347.0,24769.9030995,300.8636767,11.571679873076922
Gujarat,porbandar,17,451060079.0,26532945.82352941,525.0,21927.033109,45.1060079,2.6532945823529412
Gujarat,rajkot,1696,221709618775.62,130725011.07053065,123592.0,27019.876607,22170.961877562,13.072501107053066
Gujarat,sabar kantha,14,1012818264.0,72344161.71428572,920.0,20008.8718295,101.2818264,7.234416171428571
Gujarat,sabarkantha,1,414934100.0,414934100.0,147.0,46128.134293,41.49341,41.49341
Gujarat,surat,1861,915759955442.66,492344062.0659463,356845.0,31788.325066,91575.995544266,49.23440620659463
Gujarat,surendranagar,18,3131692730.0,173982929.44444445,3461.0,16827.062792,313.169273,17.398292944444446
Gujarat,tapi,8,596366789.0,74545848.625,680.0,27980.881163000002,59.6366789,7.4545848625
Gujarat,unknown,875,335969309399.69,383964925.02821714,87307.0,,33596.930939969,38.396492502821715
Gujarat,vadodara,2407,621869704282.89,258358830.19646448,262059.0,36047.1474925,62186.970428289,25.83588301964645
Gujarat,valsad,295,54308280698.67,184095866.77515253,30046.0,27470.7942285,5430.828069867,18.409586677515254
