state_std,total_road_length,national_highways_length,state_highways_length,district_roads_length,rural_roads_length,road_density_per_1000sqkm,nh_density_per_1000sqkm,sh_density_per_1000sqkm,surfaced_road_length,surfaced_road_ratio,road_length_per_1000pop
Andhra Pradesh,316906,10709,15649,58083,180833,1152.2,38.9,56.9,13500.0,1.0,4
Arunachal Pradesh,55262,2537,13500,8616,25832,659.9,30.3,161.2,13500.0,1.0,40
Assam,399122,3909,2530,6093,372510,5088.38,49.8,32.3,2452.0,0.9691699604743083,13
Bihar,298205,5358,4006,12797,259507,3166.91,56.9,42.5,4006.0,1.0,3
Chhattisgarh,105074,3606,4176,12221,56575,777.22,26.7,30.9,4098.0,0.9813218390804598,4
Goa,18697,293,279,824,16054,5050.61,79.1,75.5,272.0,0.974910394265233,13
Gujarat,249373,6635,16746,31262,132467,1270.73,33.8,85.3,16679.0,0.9959990445479517,4
Haryana,50292,3166,1602,22051,7027,1137.53,71.6,36.2,1602.0,1.0,2
Himachal Pradesh,73230,2607,827,4277,53033,1315.37,46.8,14.9,782.0,0.9455864570737605,11
Jammu & Kashmir,120034,2423,310,19695,75684,540.12,10.9,1.4,310.0,1.0,10
Jharkhand,81245,3367,1232,10969,44317,1019.18,42.2,15.5,1232.0,1.0,2
Karnataka,358300,7335,19473,49555,220130,1868.18,38.2,101.5,19450.0,0.9988188774200175,6
Kerala,259932,1782,4342,27470,188517,6690.3,45.9,111.7,4342.0,1.0,8
Madhya Pradesh,365045,8772,11389,50714,232344,1184.24,28.5,36.9,11389.0,1.0,5
Maharashtra,636887,17757,32005,108419,426327,2069.74,57.7,104.0,31351.0,0.9795656928604906,6
Manipur,32389,1750,781,3095,25339,1450.66,78.4,35.0,661.0,0.8463508322663252,11
Meghalaya,40258,1156,768,4624,32537,1794.91,51.5,34.2,768.0,1.0,14
Mizoram,16250,1423,170,1714,11849,770.82,67.5,8.1,170.0,1.0,15
Nagaland,37871,1548,650,5129,28039,2284.29,93.4,39.2,650.0,1.0,19
Odisha,305631,5762,4143,21647,226922,1962.86,37.0,26.6,4143.0,1.0,7
Punjab,147862,3274,1133,6808,104565,2935.98,65.0,22.5,1133.0,1.0,5
Rajasthan,313469,10342,15061,24448,220402,915.94,30.2,44.0,15000.0,0.9959498041298719,5
Sikkim,12182,463,663,1469,8550,1716.72,65.2,93.4,663.0,1.0,20
Tamil Nadu,271137,6742,11169,48236,170246,2084.71,51.8,85.9,11169.0,1.0,4
Tripura,45120,854,1057,461,40236,4302.87,81.4,100.8,1057.0,1.0,12
Uttar Pradesh,442907,11737,7427,55816,255576,1838.34,48.7,30.8,7427.0,1.0,2
Uttarakhand,68727,2949,4517,4828,44805,1285.03,55.1,84.5,4502.0,0.9966792118662829,7
West Bengal,283865,3664,3612,10449,157497,3198.4,41.3,40.7,3612.0,1.0,3
A.& N.Islands,1809,331,257,180,610,219.29,40.1,31.1,,,5
Chandigarh,2573,15,9,83,0,22567.24,134.0,78.0,9.0,1.0,2
D.& N.Haveli,1133,31,30,190,798,2307.2,63.1,60.7,,,3
Dadra & Nagar Haveli and Daman & Diu,274,22,22,59,116,2467.57,198.2,198.2,30.0,1.0,1
Delhi,16170,157,0,100,0,10903.86,105.9,0.0,0.0,,1
Lakshadweep,232,0,0,0,228,7732.33,0.0,0.0,0.0,,4
Puducherry,4294,27,0,397,2755,8763.03,54.8,0.0,0.0,,3
India ++,5431757,132499,179535,612778,3622228,1652.26,40.3,54.6,,,4
