Sl.No.,Name of State / UT,Total ,Surfaced
1,Andhra Pradesh ,13500,13500
2,Arunachal Pradesh $,13500,13500
3,Assam,2530,2452
4,Bihar,4006,4006
5,Chhattisgarh,4176,4098
6,Goa,279,272
7,Gujarat,16746,16679
8,Haryana,1602,1602
9,Himachal Pradesh,827,782
10,Jammu & Kashmir,310,310
11,Jharkhand,1232,1232
12,Karnataka,19473,19450
13,Kerala,4342,4342
14,Madhya Pradesh,11389,11389
15,Maharashtra,32005,31351
16,Manipur,781,661
17,Meghalaya,768,768
18,Mizoram,170,170
19,Nagaland,650,650
20,Odisha,4143,4143
21,Punjab,1133,1133
22,Rajasthan,15061,15000
23,Sikkim,663,663
24,Tamil Nadu,11169,11169
25,Telangana,2149,2146
26,Tripura,1057,1057
27,Uttarakhand,4517,4502
28,Uttar Pradesh,7427,7427
29,West Bengal,3612,3612
30,Andaman & Nicobar  Island,257,257
31,Chandigarh,9,9
32,Dadra & Nagar Haveli,30,30
33,Daman & Diu,22,22
34,Delhi,0,0
35,Lakshadweep,0,0
36,Puducherry,0,0
Total,,179535,178384
