Name of the States,National Highways,State Highways,District Roads,Rural Roads,Urban Roads,Project Roads,Total road Length,Total Population,Road length per '000 pop,Road length per '000  Population - National Highways,Road length per '000  Population - State Highways,Road length per '000  Population - District Roads,Road length per '000  Population - Rural Roads,Road length per '000  Population - Urban roads,Road length per '000  Population - Project Roads
 Andhra Pradesh(*),10709,15649,58083,180833,22724,28907,316906,84581,4,0.13,0.2,0.7,2,0.27,0.34
 Arunachal Pradesh,2537,13500,8616,25832,59,4717,55262,1384,40,1.83,9.8,6.2,19,0.04,3.41
 Assam,3909,2530,6093,372510,6268,7813,399122,31206,13,0.13,0.1,0.2,12,0.2,0.25
 Bihar,5358,4006,12797,259507,14308,2230,298205,104099,3,0.05,0,0.1,2,0.14,0.02
 Chhattisgarh,3606,4176,12221,56575,12824,15672,105074,25545,4,0.14,0.2,0.5,2,0.5,0.61
 Goa ,293,279,824,16054,912,334,18697,1459,13,0.2,0.2,0.6,11,0.63,0.23
 Gujarat,6635,16746,31262,132467,30920,31343,249373,60440,4,0.11,0.3,0.5,2,0.51,0.52
 Haryana,3166,1602,22051,7027,14853,1594,50292,25351,2,0.12,0.1,0.9,0,0.59,0.06
 Himachal Pradesh,2607,827,4277,53033,4706,7781,73230,6865,11,0.38,0.1,0.6,8,0.69,1.13
 Jammu & Kashmir,2423,310,19695,75684,2096,19826,120034,12541,10,0.19,0,1.6,6,0.17,1.58
 Jharkhand,3367,1232,10969,44317,7433,13928,81245,32988,2,0.1,0,0.3,1,0.23,0.42
 Karnataka,7335,19473,49555,220130,41396,20413,358300,61095,6,0.12,0.3,0.8,4,0.68,0.33
 Kerala,1782,4342,27470,188517,28785,9036,259932,33406,8,0.05,0.1,0.8,6,0.86,0.27
 Madhya Pradesh,8772,11389,50714,232344,31343,30484,365045,72627,5,0.12,0.2,0.7,3,0.43,0.42
 Maharashtra,17757,32005,108419,426327,30386,21993,636887,112374,6,0.16,0.3,1,4,0.27,0.2
 Manipur ,1750,781,3095,25339,126,1298,32389,2856,11,0.61,0.3,1.1,9,0.04,0.45
 Meghalaya,1156,768,4624,32537,571,603,40258,2967,14,0.39,0.3,1.6,11,0.19,0.2
 Mizoram,1423,170,1714,11849,11,1082,16250,1097,15,1.3,0.2,1.6,11,0.01,0.99
 Nagaland,1548,650,5129,28039,1471,1035,37871,1979,19,0.78,0.3,2.6,14,0.74,0.52
 Odisha,5762,4143,21647,226922,21425,25733,305631,41974,7,0.14,0.1,0.5,5,0.51,0.61
 Punjab,3274,1133,6808,104565,18887,13195,147862,27743,5,0.12,0,0.2,4,0.68,0.48
 Rajasthan,10342,15061,24448,220402,32772,10444,313469,68548,5,0.15,0.2,0.4,3,0.48,0.15
 Sikkim,463,663,1469,8550,156,881,12182,611,20,0.76,1.1,2.4,14,0.26,1.44
 Tamil Nadu,6742,11169,48236,170246,24693,10052,271137,72147,4,0.09,0.2,0.7,2,0.34,0.14
 Tripura,854,1057,461,40236,1073,1439,45120,3674,12,0.23,0.3,0.1,11,0.29,0.39
 Uttar Pradesh,11737,7427,55816,255576,70178,42173,442907,199812,2,0.06,0,0.3,1,0.35,0.21
 Uttarakhand,2949,4517,4828,44805,6360,5268,68727,10086,7,0.29,0.4,0.5,4,0.63,0.52
 West Bengal,3664,3612,10449,157497,95065,13576,283865,91276,3,0.04,0,0.1,2,1.04,0.15
 A.& N.Islands ,331,257,180,610,214,218,1809,381,5,0.87,0.7,0.5,2,0.56,0.57
 Chandigarh ,15,9,83,0,2466,0,2573,1055,2,0.01,0,0.1,0,2.34,0
 D.& N.Haveli ,31,30,190,798,84,0,1133,344,3,0.09,0.1,0.6,2,0.24,0
 Daman & Diu ,22,22,59,116,54,1,274,243,1,0.09,0.1,0.2,0,0.22,0
 Delhi ,157,0,100,0,15862,52,16170,16788,1,0.01,0,0,0,0.94,0
 Lakshadweep ,0,0,0,228,4,0,232,64,4,0,0,0,4,0.07,0
 Puducherry ,27,0,397,2755,1071,44,4294,1248,3,0.02,0,0.3,2,0.86,0.04
INDIA (1) ++        ,132499,179535,612778,3622228,541554,343163,5431757,1210855,4,0.11,0.1,0.5,3,0.45,0.28
